num,keyword,name,famous_for,link,rating_in_site,website,address,review,business_id,review_count,rating,open_hour,comment
0,Single Burger at Everson Royce Bar,Everson Royce Bar,Single Burger ,https://www.timeout.com/los-angeles/bars/everson-royce-bar,4,http://www.erbla.com,'1936 E 7th St Los Angeles 90021',"
Approaching the imposing orange door to E.R.B. (Everson Royce Bar, technically speaking), it’s hard to know what to expect behind it. The concrete exterior of the downtown Arts District haunt seems intentionally non-descript. A bold neon sign above the door reads simply “BAR”—the small plaque beside it, “everson royce bar, est. 2015,” verifies the bar’s identity. Inside, the bar is not only bustling, but bright; the large, elegant space is bathed in soft light, illuminating its features in a way that feels warm and inviting. Out back, a spacious patio offers ample seating for drinking, dining and stargazing through the twinkle of overhead light strings. The warmth of E.R.B.’s atmosphere extends to its service, too; despite a packed house, the bar felt remarkably personal. It turns out that the guy walking around like he owns the place in fact does, and he’ll deliver your drinks, to boot. Not only did co-owner Randy Clement indulge our every query about the cocktails and food, but the Silverlake Wine boss also provided some insight into the inspiration behind the bar and its predecessor, Everson Royce, a wine shop in Pasadena: they’re named after Clement’s twin sons, Everson and Royce. It wasn’t just us, and it wasn’t just him—beyond our table, we observed Clement and his staff treating every patron with the priority of a VIP. Simply put, this place knows how to make a girl feel special, and in this town, that goes a long way.
Vitals
Good for: Girl's night, date night, first date, work drinks—all of the above. With a welcoming atmosphere, excellent cocktails, an extensive selection of wine by the glass or bottle and a respectable line-up of draught, bottled and canned beers, there’s really something here for everyone. It fills a needed niche in the Arts District, plus there’s reasonable on-site valet, which is a nice alternative to parking on a dimly-lit industrial street.
The scene: This place was hopping at 9pm on a Friday night, with the patio full and nearly all the seats at the bar and indoor tables occupied. E.R.B.’s upscale yet casual vibe seems to cater to the cool and sophisticated—30+ patrons whose tattoos show that they still have an edge, but whose quiet sense of relief tells you they were lucky to get a sitter tonight. The music, too, seems to cater to a slightly older crowd; we heard at least two Garbage songs in the rotation, and we didn’t mind one bit.
Drink this: Varnish alumn Chris Ojeda adds a whole lot of credibility to the cocktail list here, and the eight concoctions he’s brought to the menu do not disappoint. There are refined standards like the Mamie Taylor ($13) with scotch, ginger and lime, and the Fancy Free ($13), an Old Fashioned variation with maraska liqueur, but the Infanté ($12), a tequila tipple with lemon, almond, nutmeg and rosewater stole our hearts with its combination of tart, sweet and lightly perfumed flavors. The Business ($12) was another favorite that Bee’s Knees fans should enjoy—lime replaces lemon in this delightful mingling of gin, citrus and honey. The Paper Plane ($13) was the most unexpected joy of the evening. Seeing bourbon, aperol and amaro in the ingredients, we expected a spirit-forward heavyweight of a cocktail, but were pleasantly surprised by the light, bright and dangerously downable creation that arrived.
Our tip: With former Osteria Mozza chef Matt Molina in the kitchen, E.R.B.’s food offerings are elevated far beyond your typical bar grub, like the steamed buns ($10), melt-in-your-mouth roasted pork belly, cucumber pickle and hoisin wrapped in pillowy warm bao. The kitchen is open til 1am, which is great if you’re feeling a bit peckish. Bear in mind that when the menu says “Bites,” it means it—if you skipped dinner, you’ll probably still end up at Jack in the Box on your way home.
",gfCW8zTVPVdP1L9m_LqauQ,781,4.5,"['On Monday open : 1130 close 0200 open overnight : True', 'On Tuesday open : 1130 close 0200 open overnight : True', 'On Wednesday open : 1130 close 0200 open overnight : True', 'On Thursday open : 1130 close 0200 open overnight : True', 'On Friday open : 1130 close 0200 open overnight : True', 'On Saturday open : 1700 close 0200 open overnight : True', 'On Sunday open : 1400 close 0000 open overnight : False']","['My friend works down the street and recommended it so we came for happy hour drinks and dinner yesterday. Holy Moly! What a great place!\nWe arrived pretty...', 'I love this bar, I really do. I have celebrated my birthday and other special occasions here. With that said, ERB recently implemented this new rule where...', ""My friend recommended their burger and biscuits. She said it's the best burger in town. \n\nBurger is very simple. No vegetables or lots of sauce. But the...""]"
1,Big Mec at Petit Trois,Petit Trois,Big Mec ,https://www.timeout.com/los-angeles/restaurants/petit-trois,5,http://petittrois.com,'718 N Highland Ave Los Angeles 90038',"
To watch an omelette being made at Ludo Lefebvre’s Petit Trois is a thing of beauty.
First there is the butter, a massive pad that swirls around the pan before being flooded with whipped eggs over low heat. The mixture sits, briefly, then is taken off the stove and gently poked and prodded for minutes until it is finally folded into one uniform, buttercup-hued omelette. Oh, and did I mention that Boursin cheese is piped through the middle?
Perceived simplicity is what Chef Lefebvre aims to perfect at Petit Trois, which sits right next to his first brick-and-mortar success, Trois Mec. The menu is a sparse list of classic French dishes—steak frites, mussels marinières, chicken leg—and the playlist is '90s hip hop and classic rock, an unusual mix but one that furthers Lefebvre’s ethos of this being a casual French spot, a place to indulge in simple, good food without pretense. If the Hollywood strip mall exterior doesn’t sell you on this idea, the food certainly will.
I was not asked how I would like my steak when I ordered the steak frites, but if I had been, I would have asked for exactly what came out. Cooked medium rare, the juicy slab arrives au poivre, slathered in the traditional sauce with green peppercorns for a hit of spice and a squeeze of lemon for acidity. The accompanying fries are fantastic. It’s a dish that, as an end product, seems so basic, so why were we astounded (as with the omelette) that it tasted that good? This was a theme that continued throughout our meal, making us question if we had just been settling all along when it came to steak and eggs.
A croque monsieur, originally offered only after 10pm and now part of the full menu, is a heart attack waiting to happen (though, from a prep chef who leaned over the granite chef's counter as we ogled at the sandwich: “That’s better for you than a Big Mac.”). A mass of melted cheese sits over the top slice of bread, cooked under the broiler. The dish is comfort food, plain and simple: there is the thick, oozing Gouda; the salty slices of ham; the bread that has been soaked through with butter to create the golden toast. The real heart attack? You pay $18 for it, which led us to another existential question: Is a grilled sandwich ever worth $18? Is an omelette? What if it's the best omelette you've ever had? Lefebvre wants to channel the French bistros of his youth in an LA strip mall, and that's fine. But to ask diners to stop in for a ""dish or two, and a drink"" and then leave $70 poorer? C'est ridicule.
Still, whether it is a forkful of the chocolate cake drizzled in caramel sauce and a dusting of cocoa powder, or that last bit of omelette with its garlicy, peppery Boursin, there is no denying that Lefebvre has done his work here. Petit Trois is casual. It is French. And it is very, very good.
What to Eat: The omelet ($18). The steak frites ($36). The Croque Monsieur ($18). The chocolate cake ($10).
What to Drink: Despite his aversion to cocktails, Lefebvre has included a cocktail list along with a selection of wines and a few beer options. The cocktails, however, are far from the eight-ingredient concoctions we have come to expect. Drinks are simple, like the delightfully fresh Fleur de Mal ($12) that uses rose petal-infused vodka, ruby grapefruit and lemon to create a crisp, balanced beverage that, despite its citrus components, is neither too sour nor too sweet.
Where to Sit: There are roughly 20 bar seats at Petit Trois: you can either sit facing the kitchen or facing a mirror (there are a couple smaller tables off to the side as well). Sitting at the kitchen counter—especially when they are making that omelette—is a happy distraction as you wait for your food. The downside? You can see exactly how much butter is being used.
Conversation Piece: There is no tipping at Petit Trois. Instead, an 18% service charge is added to the bill. Oh, and cash isn’t allowed—only credit cards. This bistro may be casual, but it’s still Ludo’s house.
Read our interview with Ludo Lefebvre here.
 
",-ZcCFCdqMwOPXItB3REecA,847,4.0,"['On Monday open : 1200 close 2200 open overnight : False', 'On Tuesday open : 1200 close 2200 open overnight : False', 'On Wednesday open : 1200 close 2200 open overnight : False', 'On Thursday open : 1200 close 2200 open overnight : False', 'On Friday open : 1200 close 2300 open overnight : False', 'On Saturday open : 1200 close 2300 open overnight : False', 'On Sunday open : 1200 close 2200 open overnight : False']","[""I would rate this place a 4.5/5  which is rounded up to  !! It's just we dont really like the texture of the meat of the steak but i believe those thick..."", 'Hi, petit Trois. \nI love you  \nI still love you, I wish you will keep open, for escargot , I only love to here to eat.', ""I came here for The Big Mec.\nAfter watching BuzzFeed's Youtube video,\nI had to come down and try this $25 burger myself.\nThe Big Mec is a double patty...""]"
2,Burgerdaddy at Standing's Butchery,Standing's Butchery,Burgerdaddy ,https://www.timeout.com/los-angeles/shopping/standings-butchery,no rating,http://standingsbutchery.com,'7016 Melrose Ave Los Angeles 90038',"
This whole-animal butcher shop specializes in humanely-raised and sustainable meats—almost always locally sourced. Stop by for some of the area's most creative sausage flavors, or simply grab a cut or four to stock your fridge. Need pantry supplies such as heirloom beans or bottles of wine? They've got you covered there, too.
",7Hxg-elu7er0IoQ_KcVrTg,77,5.0,"['On Monday open : 1000 close 1900 open overnight : False', 'On Tuesday open : 1000 close 1900 open overnight : False', 'On Wednesday open : 1000 close 1900 open overnight : False', 'On Thursday open : 1000 close 1900 open overnight : False', 'On Friday open : 1000 close 1900 open overnight : False', 'On Saturday open : 0900 close 1700 open overnight : False', 'On Sunday open : 0900 close 1700 open overnight : False']","['Friendly staff, clean and inviting shop, and good meats!\n\nI got the Vietnamese sausage and some ribs and They tasted great!', 'Finally stopped by and grabbed some ribeye. Amazing place. Very clean service is top notch. Jose took care of me and helped out a lot. Will definitely be...', 'Officially my favorite cheeseburger in all of La La land. Found outside on Saturday and Sunday from 12-3 they grill fresh grass fed beef burgers. Served...']"
3,Double-Double (Animal Style) at In-N-Out Burger,In-N-Out Burger,Double-Double (Animal Style) ,https://www.timeout.com/los-angeles/restaurants/in-n-out-burger,5,http://www.in-n-out.com,'Various locations in LA Los Angeles',"
Southern California may have spawned the golden arches, but no other regional fast food export has a local and out-of-towner following quite like In-N-Out. ""Did you go to In-N-Out?"" is bound to come up in any conversation when a tourist visits LA. And honestly, it's hard to argue with less-than-$3 cheeseburgers, late-night hours and a not-so-secret menu that offers a surprising level of customization for a fast food spot.
",zo2AEDj10wcFZ3550vEB2A,1644,4.0,"['On Monday open : 1030 close 0100 open overnight : True', 'On Tuesday open : 1030 close 0100 open overnight : True', 'On Wednesday open : 1030 close 0100 open overnight : True', 'On Thursday open : 1030 close 0100 open overnight : True', 'On Friday open : 1030 close 0130 open overnight : True', 'On Saturday open : 1030 close 0130 open overnight : True', 'On Sunday open : 1030 close 0100 open overnight : True']","['3/26/20 Since drive through is still considered safe during these trying times I opted for something I knew would be good. The car line was incredibly long....', 'In-N-Out Burger is one of the best burgers in town. But with the COVID-19 pandemic we have to be extra careful. Tonight (4/13/2020) picking up dinner, but...', ""Is it better than Shake Shack?? Personally, no. But it's a very solid burger place with friendly and fast service. \n\nThe menu is straightforward (when we...""]"
4,The Hook Burger at Connie and Ted's,Connie and Ted's,The Hook Burger ,https://www.timeout.com/los-angeles/restaurants/connie-and-teds,4,http://www.connieandteds.com,'8171 Santa Monica Blvd Los Angeles 90046',"
L.A.'s seafood guru, chef Michael Cimarusti of Providence, pays homage to his New England roots—his grandfather was a fisherman in Rhode Island—with a modern take on the clam shack. The lofty eatery in the heart of West Hollywood features alfresco dining with indoor and outdoor seating—grab a spot at the raw bar for a close-up view of the kitchen—and a constellation of ceiling lights. (Design buffs and Cimarusti fans can also admire the collage of oyster tags of 15+ years at Providence.) To eat, order from the raw bar (think: oysters, clams, lobsters, crabs, shrimp and spot prawns) or get hands-on with oysters Rockefeller or deviled oysters. Two-fisters include the lobster and clam rolls, served on a griddled top-split bun. Classic seaside plates include grilled or steamed lobster served with drawn butter, fried clams served with tartar sauce and fries, and a clam bake of mussels, steamer clams, lobster, linguiça (Portuguese sausage) and steamed potatoes and corn. Domestic craft brews are offered on tap and by the bottle, as well as a California-centric selection of reds and whites by the glass, carafe and bottle. A small list of cocktails are just as appetizing as the food (housemade coffee syrup and banana cordial, anyone?), and a perfect way to start a summer feast. Want to stop by on the weekend? Connie and Ted's also serves brunch, with dishes like biscuits and gravy, crabs and eggs, and French toast. 
 
",FZVggU2nUN7YnCiZfpWjyw,1880,4.0,"['On Tuesday open : 1500 close 2000 open overnight : False', 'On Wednesday open : 1500 close 2000 open overnight : False', 'On Thursday open : 1500 close 2000 open overnight : False', 'On Friday open : 1500 close 2000 open overnight : False', 'On Saturday open : 1500 close 2000 open overnight : False']","[""Connie & Ted's is a must-hit in LA. The atmosphere is lively, the restaurant is spacious and clean, and the seafood is delicious. Be prepared to pay for..."", 'Sadly we have came here twice. I thought the first time they just had a busy night and we came too late.. but the fish we had was oily and salty and the...', ""Grilled calamari\nFirst thought: that's a lot of arugula.\nSecond thought: damn this is good.\nI ate it so fast I burned my hand on the skillet 3 times \nHot...""]"
5,Doubles at Burgers Never Say Die,Burgers Never Say Die,Doubles ,https://www.timeout.com/los-angeles/restaurants/burgers-never-say-die,no rating,http://www.burgersneversaydie.com,'2388 Glendale Blvd Los Angeles 90039',"
The absurdly popular pop-up goes permanent with a brick-and-mortar. The BNSD crew's casual restaurant will sling their signature smashed burgers (in single and double form), plus grilled cheese, fries, shakes and more. Sure, there'll probably still be a line, but at least now you know where to find 'em. 
",26fIBSlQkaTa29uoKAvZOw,501,4.0,['On Sunday open : 1200 close 1930 open overnight : False'],"['Super FIRE burgers!!! It was well worth the drive from ""deep"" in the valley (Northridge) - no traffic made it a lot faster than it would\'ve typically been....', ""The burgers are like an elevated McDonald's double cheeseburger. It has that same addictiveness,  but you can taste the amazing quality. We traveled 20+..."", ""Why isn't this called 'Burgers never say stop'...seriously, I started with just their regular double cheeseburger and some fries...couldn't stop...so...""]"
6,Singles at Pie 'n Burger,Pie 'n Burger,Singles ,https://www.timeout.com/los-angeles/restaurants/pie-n-burger,no rating,http://pienburger.com,'913 E California Blvd Los Angeles 91106',"
Don't be fooled by the relaxed, homey vibe given off by this throwback diner, which first opened in 1963: when it comes to burgers, they mean business. The griddle-cooked patties (topped, of course, with a secret recipe house-made sauce) have become so popular that owners even launched a spin-off Pie 'n Burger food truck, which regularly prowls the area. Also included on the limited menu are breakfast fare, deli sandwiches, and, of course, homemade pies.
",sXmUz-g62cYQVyFbGeDq1Q,1576,3.5,"['On Monday open : 0700 close 2100 open overnight : False', 'On Tuesday open : 0700 close 2100 open overnight : False', 'On Wednesday open : 0700 close 2100 open overnight : False', 'On Thursday open : 0700 close 2100 open overnight : False', 'On Friday open : 0700 close 2200 open overnight : False', 'On Saturday open : 0700 close 2200 open overnight : False', 'On Sunday open : 0700 close 2100 open overnight : False']","['Best burger in LA. Best atmosphere of a burger joint in LA. Pro tip: get their blue cheese dressing, mix it with ketchup for your fries. Just a one of kind...', ""SHAME on Yelp reviewers who complain about service, here or anywhere, while we're all trying to get through COVID-19. WHAT THE HECK IS WRONG WITH YOU? We..."", ""I didn't realize that Pie 'n Burger does not accept credit cards, so when I went to pick up my food, I didn't have enough cash on me to cover the bill.  The...""]"
7,Boner Burger at Animal,Animal,Boner Burger ,https://www.timeout.com/los-angeles/restaurants/animal,4,http://www.animalrestaurant.com,'435 N Fairfax Ave Los Angeles 90036',"
Opened in 2008 by Jon Shook and Vinny Dotolo, better known as the Two Dudes Catering on the Food Network, Animal offers a crazy-adventurous menu that adds unexpected twists to the cooking of the American South. The room is bare and often loud and the no substitutions policy gives the menu a bit of an edge. The food, though, is fantastic.
",BAnC30_CaFiBOd6Fv9KgBg,3372,4.0,"['On Monday open : 1800 close 2200 open overnight : False', 'On Tuesday open : 1800 close 2200 open overnight : False', 'On Wednesday open : 1800 close 2200 open overnight : False', 'On Thursday open : 1800 close 2200 open overnight : False', 'On Friday open : 1800 close 2300 open overnight : False', 'On Saturday open : 1030 close 1430 open overnight : False', 'On Saturday open : 1800 close 2300 open overnight : False', 'On Sunday open : 1030 close 1430 open overnight : False', 'On Sunday open : 1800 close 2200 open overnight : False']","['First time eating at this highly recommended restaurant. If you are into trying unique food, this is the place. \n\nThere is no sign in front of the door so...', ""If you haven't been to this restaurant before, and you're a carnivore...you HAVE to check it out once. It was actually a while ago that I went here, but it..."", 'Pig Ear w/an over easy egg - we call eat Sisig Silog!  Spicy. A+\n\nPoutin looks good like chili fries, tastes even better!  Oxtail gravy Served on top of...']"
8,Hickory Burger at the Apple Pan,the Apple Pan,Hickory Burger ,https://www.timeout.com/los-angeles/restaurants/the-apple-pan,4,http://www.applepan.com,'10801 W Pico Blvd Los Angeles 90064',"
Queue up and ring around a U-shaped counter at this West LA institution, which has escaped time. Burger patties sizzle on the griddle that's been around for decades (since 1947, to be exact) and served by friendly waiters that seem to have been around for just as long. The go-to order: Don't miss the smoky hickory burger slathered in house sauce. Pair with an order of crispy fries and save room for a slice of homemade apple pie (á la mode, all the way). Be prepared to pay cash only and, on a sweltering day, opt for a seat by the door at this no-AC joint.
",odzvOMZgp0OVYGp9sDS3qQ,2884,3.5,"['On Tuesday open : 1100 close 2100 open overnight : False', 'On Wednesday open : 1100 close 2100 open overnight : False', 'On Thursday open : 1100 close 2100 open overnight : False', 'On Friday open : 1100 close 2300 open overnight : False', 'On Saturday open : 1100 close 2300 open overnight : False', 'On Sunday open : 1100 close 2100 open overnight : False']","[""The best cheeseburger in Los Angeles hands down. The sauce they use for the hickory burger is tangy with just the right level of sweetness. They don't use..."", 'My burger craving was satisfied!  If you live in the area and are looking to grab a quick bite, give this place a try. Simple menu, cook to order, quick...', 'Been coming here for decades- since I was a kid in the 70s. Yes, this place is a ""Los Angeles \'insitution\'"" - if you\'ve come here you know. If you haven\'t,...']"
9,Patty Melt at Cassell's Hamburgers,Cassell's Hamburgers,Patty Melt ,https://www.timeout.com/los-angeles/restaurants/cassells-hamburgers,3,http://www.cassellshamburgers.com,'3600 W 6th St Los Angeles 90020',"
Cassell’s Hamburgers is part of The Normandie Hotel’s multi-million dollar makeover, one that includes the adjacent Le Comptoir and The Normandie Club. Yet Cassell’s itself isn’t new, per se. The original diner, founded by Al Cassell in 1948 and located just a couple blocks away, was an institution, known for its burgers, patty melts and slices of pie; a Korean family bought it in 2006, running the restaurant until it closed again in 2012 (quit playing with our hearts!). Now reimagined by chef Christian Page, the relocated Cassell’s pays tribute with ‘50s memorabilia hanging on the walls and the use of the diner’s original Hobart meat grinder and patty press. A lot has changed, though, and not necessarily for the better.
The menu is basic, with variations on burgers and sandwiches that evoke lunch box staples. A lackluster tuna melt elicited indifferent shrugs around our table, which was discouraging for a $14 sandwich.  I know, I know: the tuna is wild-caught albacore soaked in pickle juice; the mayo is homemade. Still—it could use a jolt of flavor, or at least something to warrant its plumped-up price tag. Other hot, melted options are better: a patty melt uses house ground beef with a slice of cheese (your choice of cheddar or Swiss) on toasted rye, while the burger is Cassell's all-around winner. Page uses natural, hormone-free Colorado Angus, which he grinds twice a day. It shows—the beef is rich and tender without being greasy, and the Parker House bun does its job soaking up the burger's contents without falling apart. Is it one of the best burgers I’ve had in LA? Nah, but it’s a good one.
A banchan-like collection of sides came with our order, including three salads: potato salad, coleslaw, and a macaroni salad that reminded me of family picnics, in the very best way. It makes up for the fact that Cassell’s doesn’t offer French fries at the moment, a stance taken by Al Cassell, who favored chips instead. But the public wants what it wants, and our server informed us that a plan to put fries on the menu was in the works. She also offered us a second helping of our sides, which never came, so I don’t really know what to believe. I can believe in the pie here, though. The filling options change daily and involve a flaky crust, a side scoop of ice cream, and a sense of simplicity that, I think, would have pleased Cassell himself.
Vitals
What to Eat: The burger ($10.99 for 1/3 lb., $15.99 for 2/3 lb.). The patty melt ($11.99). The macaroni salad ($2.50). The mixed berry pie ($5).
What to Drink: There’s a reason diners aren’t known for their booze. Cassell’s has a hefty cocktail menu (each drink is $10), with a separate list for brunch drinks, like the Brass Monkey, a mix of Colt 45 malt liquor and OJ. We tried a couple—the Sidearm, made with Bulleit Rye and Fernet; the Root Cause, made with bourbon—but each drink was loaded with small chips of ice that quickly melted, leaving our drinks watery and weak. It’s better to go for the shakes, malts and house sodas. Sweet and bitter, sarsparilla ($3.50) is poured into a huge glass, certainly enough to last you through your meal and providing the necessary dose of nostalgia that cocktails just don’t do for a diner.
Where to Sit: Cassell’s is great for people-watching: tables are pushed up against windows that look out onto Normandie and 6th Street. There’s a counter, too, which might provide a more authentic feel—even if sipping on a watery cocktail at the counter doesn’t.
",Q3pwRtT8v8oTCKFEYJgCbg,1581,4.0,"['On Monday open : 1100 close 2100 open overnight : False', 'On Tuesday open : 1100 close 2100 open overnight : False', 'On Wednesday open : 1100 close 2100 open overnight : False', 'On Thursday open : 1100 close 2100 open overnight : False', 'On Friday open : 1100 close 2100 open overnight : False', 'On Saturday open : 1100 close 2100 open overnight : False', 'On Sunday open : 1100 close 2100 open overnight : False']","['Diner food made right! Served with a side of pie :) \n\nLet me start off by saying that at the restaurant, the staff was super friendly and attentive, and the...', 'They\'re doing takeout & delivery through their website and app during the ""safer-at-home"" order.  Support them and get a great (and extremely filling) meal...', 'A group of 3 of us came here as a back-up after another burger joint we wanted to try ended up being closed.  We were mostly happy with the food, and though...']"
